dataset_checked,review_priority,dataset,semantic_column,canonical_aliases,original_column_names,variable_labels,first_wave_or_year,last_wave_or_year,wave_or_years,data_types,source_file_count_sum,merged_canonical_count,merge_method,review_status,decision_note
KLoSA,high,KLoSA,CID08,CID08 | CID10 | CID12 | CID14 | CID16 | CID18 | CID20 | CID22 | CID24,CID08 | CID10 | CID12 | CID14 | CID16 | CID18 | CID20 | CID22 | CID24,부부코드,2,10,"2,3,4,5,6,7,8,9,10",light | raw | structured,27,9,normalized_label,needs_review,
KLoSA,medium,KLoSA,W06CV013_01,W06CV013_01 | w__CV013_01,W06CV013_01 | w02CV013_01 | w03CV013_01 | w04CV013_01 | w05CV013_01 | w07CV013_01 | w08CV013_01 | w09CV013_01 | w10CV013_01,지난 조사 이후 이사 여부_1번째,2,10,"2,3,4,5,6,7,8,9,10",raw | raw | structured,11,2,normalized_label,needs_review,
KLoSA,medium,KLoSA,W06CV013_02,W06CV013_02 | w__CV013_02,W06CV013_02 | w02CV013_02 | w03CV013_02 | w04CV013_02 | w05CV013_02 | w07CV013_02 | w08CV013_02 | w09CV013_02 | w10CV013_02,지난 조사 이후 이사 여부_2번째,2,10,"2,3,4,5,6,7,8,9,10",raw | raw | structured,11,2,normalized_label,needs_review,
KLoSA,medium,KLoSA,W06CV014_01,W06CV014_01 | w__CV014_01,W06CV014_01 | w02CV014_01 | w03CV014_01 | w04CV014_01 | w05CV014_01 | w07CV014_01 | w08CV014_01 | w09CV014_01 | w10CV014_01,지난 조사 이후 이사 시기_1번째(단위: 년4자리+월2자리),2,10,"2,3,4,5,6,7,8,9,10",raw | raw | structured,11,2,normalized_label,needs_review,
KLoSA,medium,KLoSA,W06CV014_01m,W06CV014_01m | w__CV014_01m,W06CV014_01m | w02CV014_01m | w03CV014_01m | w04CV014_01m | w05CV014_01m | w07CV014_01m | w08CV014_01m | w09CV014_01m | w10CV014_01m,지난 조사 이후 이사 시기_1번째(단위: 월2자리),2,10,"2,3,4,5,6,7,8,9,10",raw | raw | structured,11,2,normalized_label,needs_review,
KLoSA,medium,KLoSA,W06CV014_01y,W06CV014_01y | w__CV014_01y,W06CV014_01y | w02CV014_01y | w03CV014_01y | w04CV014_01y | w05CV014_01y | w07CV014_01y | w08CV014_01y | w09CV014_01y | w10CV014_01y,지난 조사 이후 이사 시기_1번째(단위: 년4자리),2,10,"2,3,4,5,6,7,8,9,10",raw | raw | structured,11,2,normalized_label,needs_review,
KLoSA,high,KLoSA,W06CV014_02,W06CV014_02 | w__CV014_02,W06CV014_02 | w02CV014_02 | w03CV014_02 | w05CV014_02 | w07CV014_02 | w08CV014_02 | w10CV014_02,지난 조사 이후 이사 시기_2번째 | 지난 조사 이후 이사 시기_2번째(단위: 년4자리+월2자리) | 지난 조사 이후 이사 시기_2번째(단위: 년4자리+월2자리),2,10,"2,3,5,6,7,8,10",raw | raw | structured,8,2,normalized_label,needs_review,
KLoSA,high,KLoSA,W06CV014_02m,W06CV014_02m | W07CV014_02m | w__CV014_02m,W06CV014_02m | W07CV014_02m | w02CV014_02m | w03CV014_02m | w05CV014_02m | w08CV014_02m | w10CV014_02m,지난 조사 이후 이사 시기_2번째(단위: 월2자리),2,10,"2,3,5,6,7,8,10",raw | raw | structured,8,3,normalized_label,needs_review,
KLoSA,high,KLoSA,W06CV014_02y,W06CV014_02y | W07CV014_02y | w__CV014_02y,W06CV014_02y | W07CV014_02y | w02CV014_02y | w03CV014_02y | w05CV014_02y | w08CV014_02y | w10CV014_02y,지난 조사 이후 이사 시기_2번째(단위: 년4자리),2,10,"2,3,5,6,7,8,10",raw | raw | structured,8,3,normalized_label,needs_review,
KLoSA,medium,KLoSA,W06CV015_01,W06CV015_01 | w__CV015_01,W06CV015_01 | w02CV015_01 | w03CV015_01 | w04CV015_01 | w05CV015_01 | w07CV015_01 | w08CV015_01 | w09CV015_01 | w10CV015_01,지난 조사 이후 이사 이유_1번째 이사,2,10,"2,3,4,5,6,7,8,9,10",raw | raw | structured,11,2,normalized_label,needs_review,
KLoSA,high,KLoSA,W06CV015_02,W06CV015_02 | w__CV015_02,W06CV015_02 | w02CV015_02 | w03CV015_02 | w05CV015_02 | w07CV015_02 | w08CV015_02 | w10CV015_02,지난 조사 이후 이사 이유_2번째 | 지난 조사 이후 이사 이유_2번째 이사 | 지난 조사 이후 이사 이유_2번째 이사,2,10,"2,3,5,6,7,8,10",raw | raw | structured,8,2,normalized_label,needs_review,
KLoSA,medium,KLoSA,cid,CID06 | cid,CID06 | cid,부부 아이디 | 부부아이디,1,5,"1,5",light | raw | structured | raw,4,2,normalized_label,needs_review,
KLoSA,medium,KLoSA,hhid,hhid,hhid,가구 아이디 | 가구아이디,1,10,"1,2,3,4,5,6,7,8,9,10",light | raw | structured,31,1,normalized_label,needs_review,
KLoSA,high,KLoSA,lately_response02,lately_response02 | lately_response03 | lately_response04 | lately_response05 | lately_response06 | lately_response07 | lately_response08 | lately_response09 | lately_response10,lately_response02 | lately_response03 | lately_response04 | lately_response05 | lately_response06 | lately_response07 | lately_response08 | lately_response09 | lately_response10,가장 최근 응답 차수(당해제외),2,10,"2,3,4,5,6,7,8,9,10",structured,9,9,normalized_label,needs_review,
