dataset,canonical_name,semantic_column,source_column,source_columns_all,concept_label_ko,role,dtype,unit,valid_min,valid_max,missing_codes,available_waves_or_years,merge_method,review_status,leakage_or_use_note,official_source,reviewer,reviewed_at,codebook_page_or_table,review_note
KLoSA,age,w__A002_age,w01A002_age,w01A002_age | w02A002_age | w03A002_age | w04A002_age | w05A002_age | w06A002_age | w07A002_age | w08A002_age | w09A002_age | w10A002_age,응답자 연령,feature,integer,year,19,120,,"1,2,3,4,5,6,7,8,9,10",single,needs_codebook,,https://survey.keis.or.kr/klosa/klosadownload/List.jsp,,,,공식 코드북의 값 라벨·결측코드·단위 확인 전 사용 금지
KLoSA,sex,w__gender1,w01gender1,w01gender1 | w02gender1 | w03gender1 | w04gender1 | w05gender1 | w06gender1 | w07gender1 | w08gender1 | w09gender1 | w10gender1,응답자 성별,feature,category,code,,,,"1,2,3,4,5,6,7,8,9,10",single,needs_codebook,,https://survey.keis.or.kr/klosa/klosadownload/List.jsp,,,,공식 코드북의 값 라벨·결측코드·단위 확인 전 사용 금지
KLoSA,bmi,w__bmi,w01bmi,w01bmi | w02bmi | w03bmi | w04bmi | w05bmi | w06bmi | w07bmi | w08bmi | w09bmi | w10bmi,체질량지수,feature,float,kg/m2,10,80,,"1,2,3,4,5,6,7,8,9,10",single,needs_codebook,,https://survey.keis.or.kr/klosa/klosadownload/List.jsp,,,,공식 코드북의 값 라벨·결측코드·단위 확인 전 사용 금지
KLoSA,current_smoking,w__C117,w01C117,w01C117 | w02C117 | w03C117 | w04C117 | w05C117 | w06C117 | w07C117 | w08C117 | w09C117 | w10C117,현재 흡연 여부,feature,category,code,,,,"1,2,3,4,5,6,7,8,9,10",single,needs_codebook,,https://survey.keis.or.kr/klosa/klosadownload/List.jsp,,,,공식 코드북의 값 라벨·결측코드·단위 확인 전 사용 금지
KLoSA,current_alcohol,w__C122,w01C122,w01C122 | w02C122 | w03C122 | w04C122 | w05C122 | w06C122 | w07C122 | w08C122 | w09C122 | w10C122,평소 음주 여부,feature,category,code,,,,"1,2,3,4,5,6,7,8,9,10",single,needs_codebook,,https://survey.keis.or.kr/klosa/klosadownload/List.jsp,,,,공식 코드북의 값 라벨·결측코드·단위 확인 전 사용 금지
KLoSA,regular_exercise,w__C108,w01C108,w01C108 | w02C108 | w03C108 | w04C108 | w05C108 | w06C108 | w07C108 | w08C108 | w09C108 | w10C108,규칙적 운동 여부,feature,category,code,,,,"1,2,3,4,5,6,7,8,9,10",single,needs_codebook,,https://survey.keis.or.kr/klosa/klosadownload/List.jsp,,,,공식 코드북의 값 라벨·결측코드·단위 확인 전 사용 금지
KLoSA,exercise_frequency,w__C111,w01C111,w01C111 | w02C111 | w03C111 | w04C111 | w05C111 | w06C111 | w07C111 | w08C111 | w09C111 | w10C111,운동 빈도,feature_optional,float,day/week,0,7,,"1,2,3,4,5,6,7,8,9,10",single,needs_codebook,,https://survey.keis.or.kr/klosa/klosadownload/List.jsp,,,,공식 코드북의 값 라벨·결측코드·단위 확인 전 사용 금지
KLoSA,exercise_duration,w__C112,w01C112,w01C112 | w02C112 | w03C112 | w04C112 | w05C112 | w06C112 | w07C112 | w08C112 | w09C112 | w10C112,운동 시간,feature_optional,float,minute,0,1440,,"1,2,3,4,5,6,7,8,9,10",single,needs_codebook,,https://survey.keis.or.kr/klosa/klosadownload/List.jsp,,,,공식 코드북의 값 라벨·결측코드·단위 확인 전 사용 금지
KLoSA,hypertension_dx,w__C006,w01C006,w01C006 | w02C006 | w03C006 | w04C006 | w05C006 | w06C006 | w07C006 | w08C006 | w09C006 | w10C006 | w01chronic_a | w02chronic_a | w03chronic_a | w04chronic_a | w05chronic_a | w06chronic_a | w07chronic_a | w08chronic_a | w09chronic_a | w10chronic_a,고혈압 진단 여부,target_source,category,code,,,,"1,2,3,4,5,6,7,8,9,10",normalized_label,needs_codebook,동시점 입력 금지; t+1 신규진단 타깃 생성에만 사용,https://survey.keis.or.kr/klosa/klosadownload/List.jsp,,,,공식 코드북의 값 라벨·결측코드·단위 확인 전 사용 금지
KLoSA,diabetes_dx,w__C011,w01C011,w01C011 | w02C011 | w03C011 | w04C011 | w05C011 | w06C011 | w07C011 | w08C011 | w09C011 | w10C011 | w01chronic_b | w02chronic_b | w03chronic_b | w04chronic_b | w05chronic_b | w06chronic_b | w07chronic_b | w08chronic_b | w09chronic_b | w10chronic_b,당뇨병 또는 고혈당 진단 여부,target_source,category,code,,,,"1,2,3,4,5,6,7,8,9,10",normalized_label,needs_codebook,동시점 입력 금지; t+1 신규진단 타깃 생성에만 사용,https://survey.keis.or.kr/klosa/klosadownload/List.jsp,,,,공식 코드북의 값 라벨·결측코드·단위 확인 전 사용 금지
KLoSA,survey_weight,w__wgt_ac,w06wgt_ac,w06wgt_ac | w07wgt_ac | w08wgt_ac | w09wgt_ac | w10wgt_ac,통합 횡단가중치,survey_design,float,weight,0,,,"6,7,8,9,10",single,needs_codebook,예측 특성으로 사용 금지,https://survey.keis.or.kr/klosa/klosadownload/List.jsp,,,,공식 코드북의 값 라벨·결측코드·단위 확인 전 사용 금지
KNHANES,age,age,age,age,만 나이,feature,integer,year,19,120,,"1998,2001,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",single,needs_codebook,,https://knhanes.kdca.go.kr/knhanes/main.do,,,,공식 코드북의 값 라벨·결측코드·단위 확인 전 사용 금지
KNHANES,sex,sex,sex,sex,성별,feature,category,code,,,,"1998,2001,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",single,needs_codebook,,https://knhanes.kdca.go.kr/knhanes/main.do,,,,공식 코드북의 값 라벨·결측코드·단위 확인 전 사용 금지
KNHANES,bmi,HE_BMI,HE_BMI,HE_BMI,체질량지수,feature,float,kg/m2,10,80,,"2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",single,needs_codebook,,https://knhanes.kdca.go.kr/knhanes/main.do,,,,공식 코드북의 값 라벨·결측코드·단위 확인 전 사용 금지
KNHANES,waist_cm,HE_WC,HE_WC,HE_WC | HE_wc,허리둘레,feature,float,cm,30,200,,"1998,2001,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",normalized_label,needs_codebook,,https://knhanes.kdca.go.kr/knhanes/main.do,,,,공식 코드북의 값 라벨·결측코드·단위 확인 전 사용 금지
