specificity_policy_target,split,policy,n,positive_n,prevalence,auroc,auprc,auprc_lift,recall,specificity,precision,f1,brier,null_model_brier,brier_skill_score,predicted_positive_rate,tn,fp,fn,tp
0.5,validation,age_stratified,9132,415,0.045444590451160755,0.7853414806409301,0.1485976050887583,3.2698634449892547,0.7807228915662651,0.5275897671217162,0.07294011706438541,0.13341568869672638,0.04118189612075616,0.043381961671238485,0.050713832794263336,0.48642137538326763,4599,4118,91,324
0.5,test,age_stratified,9691,390,0.040243524920028896,0.7680536143067054,0.11158542821888406,2.7727548329979625,0.8,0.5290828943124395,0.06649616368286446,0.12278630460448642,0.03748380161359184,0.0386369018855779,0.029844532447268368,0.4841605613455784,4921,4380,78,312
0.55,validation,age_stratified,9132,415,0.045444590451160755,0.7853414806409301,0.1485976050887583,3.2698634449892547,0.7590361445783133,0.552598370999197,0.07473309608540925,0.13606911447084233,0.04118189612075616,0.043381961671238485,0.050713832794263336,0.46156373193166883,4817,3900,100,315
0.55,test,age_stratified,9691,390,0.040243524920028896,0.7680536143067054,0.11158542821888406,2.7727548329979625,0.7589743589743589,0.5545640253736157,0.06668168506420365,0.12259266928970801,0.03748380161359184,0.0386369018855779,0.029844532447268368,0.45805386441027757,5158,4143,94,296
0.6,validation,age_stratified,9132,415,0.045444590451160755,0.7853414806409301,0.1485976050887583,3.2698634449892547,0.7228915662650602,0.6119077664334059,0.08145533532446375,0.14641288433382138,0.04118189612075616,0.043381961671238485,0.050713832794263336,0.4033070521243977,5334,3383,115,300
0.6,test,age_stratified,9691,390,0.040243524920028896,0.7680536143067054,0.11158542821888406,2.7727548329979625,0.7230769230769231,0.6075690785936996,0.07171922685656154,0.13049514113836186,0.03748380161359184,0.0386369018855779,0.029844532447268368,0.40573728201424003,5651,3650,108,282
0.65,validation,age_stratified,9132,415,0.045444590451160755,0.7853414806409301,0.1485976050887583,3.2698634449892547,0.6819277108433734,0.6784444189514741,0.0917044718081659,0.16166809483004857,0.04118189612075616,0.043381961671238485,0.050713832794263336,0.33793254489706526,5914,2803,132,283
0.65,test,age_stratified,9691,390,0.040243524920028896,0.7680536143067054,0.11158542821888406,2.7727548329979625,0.6384615384615384,0.6669175357488442,0.07439498057962354,0.13326197484613325,0.03748380161359184,0.0386369018855779,0.029844532447268368,0.34537199463419666,6203,3098,141,249
0.7,validation,age_stratified,9132,415,0.045444590451160755,0.7853414806409301,0.1485976050887583,3.2698634449892547,0.6240963855421687,0.7087300676838362,0.09256611865618299,0.16122004357298475,0.04118189612075616,0.043381961671238485,0.050713832794263336,0.30639509417433203,6178,2539,156,259
0.7,test,age_stratified,9691,390,0.040243524920028896,0.7680536143067054,0.11158542821888406,2.7727548329979625,0.5846153846153846,0.7017524997312117,0.0759493670886076,0.13443396226415094,0.03748380161359184,0.0386369018855779,0.029844532447268368,0.3097719533587865,6527,2774,162,228
