candidate,family,threshold,prevalence,auroc,auprc,auprc_lift,brier,brier_skill_score,recall,specificity,precision,f1,tn,fp,fn,tp
logistic_c10,logistic,0.020840056982489735,0.04383772351470871,0.7795050465496136,0.1266460914871519,2.8889750957222677,0.040349572594407544,0.037370115415053196,0.9535087719298245,0.42095314699376635,0.07019696480464967,0.1307669172932331,10467.0,14398.0,53.0,1087.0
logistic_c1,logistic,0.02075957517894602,0.04383772351470871,0.7796577306931113,0.12654466556806176,2.8866614281556546,0.04034997812843245,0.03736044048799725,0.9526315789473684,0.42063140961190426,0.07010069713400464,0.1305916305916306,10459.0,14406.0,54.0,1086.0
logistic_c0.1,logistic,0.020379670864915753,0.04383772351470871,0.7807167476301855,0.12688557373427822,2.8944380218946537,0.040326631325296194,0.03791743103246703,0.9517543859649122,0.42010858636637843,0.06998194014447884,0.1303773131458784,10446.0,14419.0,55.0,1085.0
random_forest_depthNone_leaf40,random_forest,0.017808530483245745,0.04383772351470871,0.7753884308599771,0.12893679738748592,2.9412293123347117,0.040036973849105734,0.04482786217078927,0.95,0.4200281520209129,0.06985294117647059,0.13013698630136986,10444.0,14421.0,57.0,1083.0
random_forest_depth12_leaf20,random_forest,0.018171291570277786,0.04383772351470871,0.773110868867322,0.12637971790822627,2.8828987405293196,0.04007919461072496,0.04382059085981038,0.9456140350877194,0.4222400965212146,0.0698005698005698,0.1300048239266763,10499.0,14366.0,62.0,1078.0
random_forest_depth8_leaf20,random_forest,0.017577908805336894,0.04383772351470871,0.7722057355332833,0.12838752890208094,2.928699727279487,0.040068133032802586,0.04408448970170842,0.9429824561403509,0.42087271264830084,0.06946688206785137,0.12940114354498947,10465.0,14400.0,65.0,1075.0
extra_trees_depth10_leaf10,extra_trees,0.019178082794688057,0.04383772351470871,0.7692523133693877,0.11743284584410162,2.678808031733213,0.04032103653734075,0.03805090729349114,0.9394736842105263,0.42075206113010255,0.06921287320666925,0.12892741061755147,10462.0,14403.0,69.0,1071.0
lightgbm_leaves15_child40,lightgbm,0.021294460703435852,0.04383772351470871,0.7622950599906161,0.11662841328628781,2.6604577960613285,0.040267510820670864,0.039327883755626014,0.9377192982456141,0.42368791473959383,0.06942009221378012,0.12927020980712256,10535.0,14330.0,71.0,1069.0
extra_trees_depthNone_leaf20,extra_trees,0.019550088898235476,0.04383772351470871,0.7692046877700989,0.11672295514135214,2.6626144284656688,0.040288002514993544,0.038839008258998664,0.9333333333333333,0.42380856625779206,0.06913131050613995,0.12872784465549575,10538.0,14327.0,76.0,1064.0
lightgbm_leaves63_child80,lightgbm,0.02240535106629166,0.04383772351470871,0.7482991310973997,0.10308533152971178,2.3515210933597848,0.04063852261657941,0.03047656218488415,0.9315789473684211,0.4202292378845767,0.06861351595813413,0.12781321458659284,10449.0,14416.0,78.0,1062.0
lightgbm_leaves31_child40,lightgbm,0.021790802514410106,0.04383772351470871,0.7526935275046656,0.1082420377584945,2.4691527999207454,0.04047077123149958,0.03447864909870546,0.9298245614035088,0.4212748843756284,0.0686084142394822,0.12778782399035563,10475.0,14390.0,80.0,1060.0
lightgbm_leaves31_child80,lightgbm,0.021676698810041795,0.04383772351470871,0.7543762986795363,0.10941176203096052,2.4958358522939723,0.04044416132777574,0.03511348825321092,0.9254385964912281,0.42139553589382667,0.06832016578163451,0.12724641177180074,10478.0,14387.0,85.0,1055.0
