bundle,feature_count,c_value,threshold,n,positive_n,prevalence,auroc,auprc,auprc_lift,recall,specificity,precision,f1,brier,predicted_positive_rate,tn,fp,fn,tp,constraints_passed,null_probability_train_prevalence,null_model_brier,brier_skill_score
core_8,8,0.01,0.4709978732604559,36273,917,0.025280511675350812,0.626080534579389,0.04030521352082664,1.594319531124258,0.6761177753544165,0.5045536825432742,0.034184264211280804,0.06507819880340086,0.23712182314708705,0.5000137843575111,17839,17517,297,620,True,0.025280511675350812,0.024641407404783267,-8.622900967136243
core_8,8,0.1,0.4706793636812484,36273,917,0.025280511675350812,0.6259755423662086,0.04028104318808087,1.593363445541175,0.678298800436205,0.5046102500282837,0.0342945360313172,0.06528812847696022,0.2371337164306375,0.5000137843575111,17841,17515,295,622,True,0.025280511675350812,0.024641407404783267,-8.623383621529925
core_8,8,1.0,0.4706185901813589,36273,917,0.025280511675350812,0.6259656106703673,0.040278654626801455,1.5932689632257024,0.6793893129770993,0.5046385337707886,0.03434967194133539,0.0653930933137399,0.2371359810096227,0.5000137843575111,17842,17514,294,623,True,0.025280511675350812,0.024641407404783267,-8.623475522895298
core_8,8,10.0,0.4706176562239372,36273,917,0.025280511675350812,0.6259642843880033,0.04027873741554794,1.59327223803072,0.6793893129770993,0.5046385337707886,0.03434967194133539,0.0653930933137399,0.23713621450707667,0.5000137843575111,17842,17514,294,623,True,0.025280511675350812,0.024641407404783267,-8.623484998711762
core_8_plus_hypertension,9,0.01,0.45592333330487356,36273,917,0.025280511675350812,0.6420152157281542,0.04336485212355394,1.7153470895067306,0.7033805888767721,0.500141418712524,0.035211267605633804,0.0670652456459579,0.2338459642871856,0.505003721776528,17683,17673,272,645,True,0.025280511675350812,0.024641407404783267,-8.489959743200082
core_8_plus_hypertension,9,0.1,0.45508116078726296,36273,917,0.025280511675350812,0.6419453854195056,0.043371063087850326,1.7155927714128625,0.7033805888767721,0.500141418712524,0.035211267605633804,0.0670652456459579,0.23386793781810675,0.505003721776528,17683,17673,272,645,True,0.025280511675350812,0.024641407404783267,-8.490851475176271
core_8_plus_hypertension,9,1.0,0.45502628230452463,36273,917,0.025280511675350812,0.6419341891288521,0.04337115132641688,1.7155962617918425,0.7022900763358778,0.5001131349700192,0.035156676493066925,0.06696126852092539,0.23387357523790853,0.505003721776528,17682,17674,273,644,True,0.025280511675350812,0.024641407404783267,-8.49108025349681
core_8_plus_hypertension,9,10.0,0.4550068710962359,36273,917,0.025280511675350812,0.6419334180344545,0.043371546035694555,1.7156118749757345,0.7022900763358778,0.5001131349700192,0.035156676493066925,0.06696126852092539,0.2338741555883762,0.505003721776528,17682,17674,273,644,True,0.025280511675350812,0.024641407404783267,-8.491103805336124
core_8_plus_bmi_history,12,0.01,0.46652778298110237,36273,917,0.025280511675350812,0.6329782978257729,0.04088067018221275,1.6170823876983678,0.6892039258451472,0.5048930874533318,0.03484589513149915,0.066337776844757,0.23543067384610883,0.5000137843575111,17851,17505,285,632,True,0.025280511675350812,0.024641407404783267,-8.554270581168517
core_8_plus_bmi_history,12,0.1,0.46594410613225756,36273,917,0.025280511675350812,0.633051274199564,0.04074452762195044,1.6116971106117866,0.6902944383860414,0.5049213711958367,0.03490103104151734,0.06644274168153669,0.23546105100162157,0.5000137843575111,17852,17504,284,633,True,0.025280511675350812,0.024641407404783267,-8.555503349857974
core_8_plus_bmi_history,12,1.0,0.4658734963907725,36273,917,0.025280511675350812,0.6330484365721807,0.04071463354227675,1.6105146155714336,0.6902944383860414,0.5049213711958367,0.03490103104151734,0.06644274168153669,0.23545773319157476,0.5000137843575111,17852,17504,284,633,True,0.025280511675350812,0.024641407404783267,-8.555368706166876
core_8_plus_bmi_history,12,10.0,0.4658783935606567,36273,917,0.025280511675350812,0.6330653389613766,0.04071097742333855,1.6103699935406315,0.6902944383860414,0.5049213711958367,0.03490103104151734,0.06644274168153669,0.23546512514207416,0.5000137843575111,17852,17504,284,633,True,0.025280511675350812,0.024641407404783267,-8.555668687023406
core_8_plus_health_history,12,0.01,0.46972889753823605,36273,917,0.025280511675350812,0.6276876803666905,0.04019590404897398,1.5899956680135585,0.6815703380588877,0.5046951012557982,0.034459943761371785,0.06560302298729925,0.23673007995110626,0.5000137843575111,17844,17512,292,625,True,0.025280511675350812,0.024641407404783267,-8.607003206527619
