model,bin_number,n,positive_n,mean_predicted_probability,observed_positive_rate,absolute_calibration_error
null_train_prevalence,1,7856,195,0.02528051167535082,0.024821792260692463,0.00045871941465835606
logistic_raw,1,786,6,0.28482638317001174,0.007633587786259542,0.2771927953837522
logistic_raw,2,786,10,0.35185344507077254,0.01272264631043257,0.33913079876033997
logistic_raw,3,785,11,0.3901227092909506,0.014012738853503185,0.3761099704374474
logistic_raw,4,786,12,0.42333589609524486,0.015267175572519083,0.40806872052272575
logistic_raw,5,785,23,0.45425119684305226,0.02929936305732484,0.42495183378572743
logistic_raw,6,786,17,0.4851659388635294,0.021628498727735368,0.463537440135794
logistic_raw,7,785,18,0.5165561338861829,0.022929936305732482,0.49362619758045045
logistic_raw,8,786,31,0.5526086917503382,0.039440203562340966,0.5131684881879972
logistic_raw,9,785,32,0.5978672464691432,0.04076433121019108,0.5571029152589522
logistic_raw,10,786,35,0.6846944927694,0.044529262086514,0.640165230682886
logistic_sigmoid_calibrated,1,786,6,0.011224045460942066,0.007633587786259542,0.0035904576746825243
logistic_sigmoid_calibrated,2,786,10,0.01475563737500017,0.01272264631043257,0.002032991064567601
logistic_sigmoid_calibrated,3,785,11,0.01708843622845633,0.014012738853503185,0.0030756973749531437
logistic_sigmoid_calibrated,4,786,12,0.019327748760058158,0.015267175572519083,0.004060573187539074
logistic_sigmoid_calibrated,5,785,23,0.02161981949549577,0.02929936305732484,0.00767954356182907
logistic_sigmoid_calibrated,6,786,17,0.024146121121666607,0.021628498727735368,0.002517622393931239
logistic_sigmoid_calibrated,7,785,18,0.026998369100885232,0.022929936305732482,0.0040684327951527495
logistic_sigmoid_calibrated,8,786,31,0.0306989904644015,0.039440203562340966,0.008741213097939467
logistic_sigmoid_calibrated,9,785,32,0.03618930484778601,0.04076433121019108,0.004575026362405074
logistic_sigmoid_calibrated,10,786,35,0.05199831114915721,0.044529262086514,0.0074690490626432154
