candidate,family,threshold,prevalence,auroc,auprc,auprc_lift,brier,brier_skill_score,recall,specificity,precision,f1,tn,fp,fn,tp
random_forest_depth12_leaf20,random_forest,0.017663187741483025,0.04383772351470871,0.7740276087362988,0.1243791494055616,2.837262965168096,0.04009075510943128,0.043544789139498,0.95,0.4202292378845767,0.06987547583715079,0.13017609231323998,10449.0,14416.0,57.0,1083.0
logistic_c0.1,logistic,0.019768578272818905,0.04383772351470871,0.7798662955397744,0.12465752939825087,2.8436132035101,0.04032492603826388,0.037958114493370054,0.9491228070175438,0.42119445003016287,0.06992374305286286,0.13025159504032743,10473.0,14392.0,58.0,1082.0
logistic_c10,logistic,0.019962849569752673,0.04383772351470871,0.7786621087204237,0.1241147762762096,2.831232243037571,0.04035913168420975,0.03714206180949131,0.9473684210526315,0.42030967223004223,0.06970440170388538,0.12985451484910424,10451.0,14414.0,60.0,1080.0
logistic_c1,logistic,0.02013590241959558,0.04383772351470871,0.778898684475113,0.12398860698171917,2.8283541443505325,0.04035376397322578,0.03727012063819135,0.9473684210526315,0.4241705208123869,0.07013897908819328,0.13060829604547103,10547.0,14318.0,60.0,1080.0
random_forest_depthNone_leaf40,random_forest,0.0179670168922743,0.04383772351470871,0.7766313884449711,0.1277686291647288,2.9145817556392744,0.04004224674056326,0.0447020654753395,0.9447368421052632,0.4255781218580334,0.0701171875,0.13054545454545455,10582.0,14283.0,63.0,1077.0
random_forest_depth8_leaf20,random_forest,0.01726288787755566,0.04383772351470871,0.7736876677920418,0.12610281054508207,2.8765820949340872,0.04006422693809976,0.04417767838379827,0.9438596491228071,0.4219183591393525,0.06964401294498382,0.1297166968053044,10491.0,14374.0,64.0,1076.0
extra_trees_depth10_leaf10,extra_trees,0.01975172966133732,0.04383772351470871,0.7677486497260646,0.11494418481770935,2.6220381808636244,0.0403818570150793,0.03659989788493123,0.9394736842105263,0.4219585763120853,0.06934731934731934,0.12916063675832126,10492.0,14373.0,69.0,1071.0
lightgbm_leaves15_child40,lightgbm,0.02060258729654362,0.04383772351470871,0.7633317810915788,0.11477836437035535,2.6182555837290273,0.040277688460020514,0.039085073258201875,0.9385964912280702,0.42079227830283533,0.06915718717683557,0.128822537924392,10463.0,14402.0,70.0,1070.0
extra_trees_depthNone_leaf20,extra_trees,0.019840210268931173,0.04383772351470871,0.7678860583995684,0.11396909058134841,2.599794912778917,0.040348237838800004,0.03740195901472032,0.9315789473684211,0.4230444399758697,0.0689252336448598,0.12835387962291517,10519.0,14346.0,78.0,1062.0
lightgbm_leaves31_child80,lightgbm,0.0216145528322718,0.04383772351470871,0.754590119981232,0.10880890845557034,2.482083916129041,0.04044437094540067,0.035108487352901174,0.9298245614035088,0.42055097526643875,0.06852857512283424,0.12764932562620424,10457.0,14408.0,80.0,1060.0
lightgbm_leaves31_child40,lightgbm,0.02166484305011481,0.04383772351470871,0.7532413982875951,0.10799711794462769,2.463565835219336,0.04047650760792196,0.0343417949260747,0.9298245614035088,0.42063140961190426,0.06853743695848959,0.12766469950620257,10459.0,14406.0,80.0,1060.0
lightgbm_leaves63_child80,lightgbm,0.022436853985793273,0.04383772351470871,0.7490405029263285,0.10495796633319585,2.39423852148663,0.04059122163237094,0.03160503364174572,0.9289473684210526,0.4200683691936457,0.06841527230441243,0.1274444912449606,10445.0,14420.0,81.0,1059.0
