model,bin_number,n,positive_n,mean_predicted_probability,observed_positive_rate,absolute_calibration_error
null_train_prevalence,1,9691,390,0.043837723514708715,0.040243524920028896,0.003594198594679819
stacking_raw,1,970,0,0.08657097882710571,0.0,0.08657097882710571
stacking_raw,2,969,1,0.11129185832519718,0.0010319917440660474,0.11025986658113114
stacking_raw,3,969,8,0.15746710484048815,0.008255933952528379,0.14921117088795977
stacking_raw,4,969,18,0.23405745338360756,0.018575851393188854,0.21548160199041871
stacking_raw,5,969,22,0.3406351591198122,0.022703818369453045,0.3179313407503591
stacking_raw,6,969,32,0.4618198868969696,0.033023735810113516,0.4287961510868561
stacking_raw,7,969,47,0.5697786978117064,0.048503611971104234,0.5212750858406022
stacking_raw,8,969,70,0.6639964857860299,0.07223942208462332,0.5917570637014066
stacking_raw,9,969,74,0.7438101631240512,0.07636738906088751,0.6674427740631638
stacking_raw,10,969,118,0.8290243474458473,0.1217750257997936,0.7072493216460537
stacking_sigmoid,1,970,0,0.005247671301154131,0.0,0.005247671301154131
stacking_sigmoid,2,969,1,0.0067734915266079625,0.0010319917440660474,0.0057414997825419156
stacking_sigmoid,3,969,8,0.009771530303321925,0.008255933952528379,0.0015155963507935463
stacking_sigmoid,4,969,18,0.015304298275301838,0.018575851393188854,0.003271553117887016
stacking_sigmoid,5,969,22,0.02462375816687975,0.022703818369453045,0.0019199397974267035
stacking_sigmoid,6,969,32,0.03873249551329638,0.033023735810113516,0.005708759703182867
stacking_sigmoid,7,969,47,0.05662444762206798,0.048503611971104234,0.008120835650963748
stacking_sigmoid,8,969,70,0.07985788972766902,0.07223942208462332,0.007618467643045704
stacking_sigmoid,9,969,74,0.11017715799278621,0.07636738906088751,0.0338097689318987
stacking_sigmoid,10,969,118,0.16814038738781226,0.1217750257997936,0.046365361588018655
stacking_isotonic,1,2357,2,0.0020454146239754414,0.0008485362749257531,0.0011968783490496882
stacking_isotonic,2,725,10,0.009914967967248358,0.013793103448275862,0.003878135481027504
stacking_isotonic,3,871,15,0.01926833718276894,0.01722158438576349,0.00204675279700545
stacking_isotonic,4,1097,24,0.030048904029408543,0.02187784867821331,0.008171055351195233
stacking_isotonic,5,865,38,0.05436801973741914,0.04393063583815029,0.010437383899268855
stacking_isotonic,6,936,45,0.0660025077724249,0.04807692307692308,0.017925584695501824
stacking_isotonic,7,1268,91,0.08356303366914132,0.07176656151419558,0.011796472154945739
stacking_isotonic,8,1062,100,0.1172893136403128,0.09416195856873823,0.023127355071574568
stacking_isotonic,9,510,65,0.1875990771642579,0.12745098039215685,0.060148096772101034
