dataset,family,candidate_index,estimator_params,selection_split,n,positive_n,prevalence,threshold,auroc,auprc,auprc_lift,recall,specificity,precision,f1,brier,predicted_positive_rate,tn,fp,fn,tp,constraints_passed
KNHANES,logistic_regression,0,"{""C"": 0.1, ""class_weight"": ""balanced""}",train_oof,26005,1140,0.04383772351470871,0.34,0.7825407375265028,0.12877796041307787,2.9376060180193773,0.9105263157894737,0.5083852805147798,0.07826873774694616,0.14414664629912513,0.19489047424089967,0.5099788502211113,12641,12224,102,1038,True
KNHANES,logistic_regression,1,"{""C"": 1.0, ""class_weight"": ""balanced""}",train_oof,26005,1140,0.04383772351470871,0.34,0.7822614398453404,0.1286479801129626,2.934640984945257,0.906140350877193,0.5101548361150211,0.07818057973208203,0.14394203302445482,0.19495493535910852,0.5080945971928476,12685,12180,107,1033,True
KNHANES,logistic_regression,2,"{""C"": 10.0, ""class_weight"": ""balanced""}",train_oof,26005,1140,0.04383772351470871,0.34,0.7821997029573733,0.1286085081478588,2.9337405740219893,0.9052631578947369,0.510516790669616,0.07816405362417632,0.14390294917381302,0.19496401993972837,0.507710055758508,12694,12171,108,1032,True
KNHANES,random_forest,0,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""min_samples_leaf"": 3, ""n_estimators"": 400}",train_oof,26005,1140,0.04383772351470871,0.06999999999999999,0.7691819509562162,0.11420775420329318,2.605239164961964,0.8807017543859649,0.5190026141162276,0.07744523295279235,0.14237095859330687,0.044183930970652596,0.4985195154777927,12905,11960,136,1004,True
KNHANES,random_forest,1,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""min_samples_leaf"": 10, ""n_estimators"": 400}",train_oof,26005,1140,0.04383772351470871,0.16,0.7750745252433315,0.12002711320277318,2.7379869112615056,0.8859649122807017,0.5206113010255379,0.07811291569992267,0.1435678749111585,0.07019233016479874,0.4972120746010383,12945,11920,130,1010,True
KNHANES,random_forest,2,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 400}",train_oof,26005,1140,0.04383772351470871,0.32,0.769995378552958,0.11643499089998734,2.6560455599597987,0.8894736842105263,0.5092700583149005,0.07672518159806295,0.1412649763165227,0.1455414584736908,0.5082099596231494,12663,12202,126,1014,True
KNHANES,xgboost,0,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 350, ""scale_pos_weight"": 21.81140350877193}",train_oof,26005,1140,0.04383772351470871,0.33,0.7796395976871598,0.12670486639512055,2.8903158338641317,0.9070175438596492,0.5036798713050472,0.07730841121495327,0.14247330347915949,0.17948326526333372,0.5143241684291482,12524,12341,106,1034,True
KNHANES,xgboost,1,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 350, ""scale_pos_weight"": 21.81140350877193}",train_oof,26005,1140,0.04383772351470871,0.25,0.7669654908435375,0.11905016223221161,2.7157012884637397,0.8771929824561403,0.5069374622964006,0.07541478129713423,0.1388888888888889,0.15575198194357068,0.5099019419342434,12605,12260,140,1000,True
KNHANES,xgboost,2,"{""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 350, ""scale_pos_weight"": 21.81140350877193}",train_oof,26005,1140,0.04383772351470871,0.22,0.7663577881966126,0.11936522408583218,2.7228882915369,0.8868421052631579,0.502232053086668,0.07551538691365402,0.1391795154185022,0.13945854262580015,0.5148240722937897,12488,12377,129,1011,True
KNHANES,lightgbm,0,"{""class_weight"": null, ""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 350, ""num_leaves"": 15, ""scale_pos_weight"": 21.81140350877193}",train_oof,26005,1140,0.04383772351470871,0.27,0.7710323466014725,0.12059815243712278,2.751013117655595,0.8868421052631579,0.5064146390508747,0.07610659439927732,0.14018302828618967,0.1578927089173988,0.5108248413766583,12592,12273,129,1011,True
KNHANES,lightgbm,1,"{""class_weight"": null, ""learning_rate"": 0.03, ""max_depth"": 6, ""n_estimators"": 350, ""num_leaves"": 31, ""scale_pos_weight"": 21.81140350877193}",train_oof,26005,1140,0.04383772351470871,0.19,0.7648859278701479,0.11586527475477645,2.6430495350859315,0.881578947368421,0.5040820430323748,0.07535992801439712,0.13885051119093672,0.12937442576192487,0.512824456835224,12534,12331,135,1005,True
KNHANES,lightgbm,2,"{""class_weight"": null, ""learning_rate"": 0.08, ""max_depth"": 6, ""n_estimators"": 350, ""num_leaves"": 31, ""scale_pos_weight"": 21.81140350877193}",train_oof,26005,1140,0.04383772351470871,0.06999999999999999,0.7428434246686494,0.09692018413978792,2.2108854285571797,0.8464912280701754,0.51116026543334,0.07355182926829268,0.135343618513324,0.08424982355406072,0.5045183618534897,12710,12155,175,965,True
