model_group,model,validation_selected_postprocessing,validation_recall,validation_specificity,test_auroc,test_auprc,test_recall,test_specificity,test_brier,test_brier_skill_score,test_expected_calibration_error,test_constraints_passed
baseline,lightgbm,raw_threshold_tuned,0.8674698795180723,0.502237008145004,0.7491535236078833,0.0964767321048585,0.8641025641025641,0.4989786044511343,0.1867629120043683,-3.833796264448467,0.3085818871733431,False
baseline,logistic_regression,sigmoid_threshold_tuned,0.9012048192771084,0.5138235631524607,0.7645494418852122,0.1129882711792814,0.8743589743589744,0.4995161810558005,0.0376740977339133,0.0249192897120971,0.0115499301804057,False
ensemble,oof_blending,raw_threshold_tuned,0.8987951807228916,0.5063668693357807,0.766282643994718,0.109119815649344,0.8871794871794871,0.4990861197720675,0.1985006435707841,-4.137592143351406,0.3444785554590313,False
baseline,random_forest,sigmoid_threshold_tuned,0.8819277108433735,0.5077434897327062,0.7554475807674388,0.1028871322089975,0.8743589743589744,0.5036017632512633,0.0375447731526673,0.028266467537817,0.0099535970166284,True
ensemble,soft_voting_equal,sigmoid_threshold_tuned,0.891566265060241,0.5082023631983481,0.7641331646169836,0.1071634025021471,0.8794871794871795,0.5022040640791313,0.0375467391678223,0.0282155831485678,0.0117272967164133,True
ensemble,stacking,sigmoid_threshold_tuned,0.9012048192771084,0.5033841918091086,0.7680536143067054,0.111585428218884,0.8897435897435897,0.4956456295022041,0.0374838016135918,0.0298445324472683,0.0119312556463048,False
ensemble,tree_oof_blending,sigmoid_threshold_tuned,0.8867469879518072,0.5026958816106458,0.7597151119675579,0.1027879721710505,0.8794871794871795,0.4994086657348672,0.0375573528445288,0.0279408800489776,0.0109436622065005,False
ensemble,tree_soft_voting_equal,sigmoid_threshold_tuned,0.8843373493975903,0.5025811632442354,0.7586485048478383,0.1025745602861411,0.8846153846153846,0.4993011504139339,0.0375719344319583,0.0275634795143101,0.011274815957065,False
ensemble,tree_stacking,sigmoid_threshold_tuned,0.891566265060241,0.5029253183434668,0.7630147295989678,0.1052230556517657,0.8871794871794871,0.4966132673906032,0.0375286585724426,0.0286835449803216,0.0112226156472383,False
baseline,xgboost,sigmoid_threshold_tuned,0.8867469879518072,0.5026958816106458,0.7612445863279107,0.1031112958014676,0.8897435897435897,0.4971508439952693,0.0375424514731807,0.0283265572285874,0.0104911285171874,False
