dataset,model,split,age_group,status,n,positive_n,positive_rate,auroc,auprc,recall,specificity,f1,brier,tn,fp,fn,tp
KLoSA,dummy,test,19-44,not_observed,,,,,,,,,,,,,
KLoSA,dummy,test,45-64,evaluated,1510,30,0.019867549668874173,0.5,0.019867549668874173,0.0,1.0,0.0,0.019502704930095652,1480,0,30,0
KLoSA,dummy,test,65+,evaluated,1490,45,0.030201342281879196,0.5,0.030201342281879196,0.0,1.0,0.0,0.02931291871737509,1445,0,45,0
KLoSA,logistic_regression,test,19-44,not_observed,,,,,,,,,,,,,
KLoSA,logistic_regression,test,45-64,evaluated,1510,30,0.019867549668874173,0.6718693693693694,0.0446337417316738,0.4,0.8412162162162162,0.08664259927797834,0.1817358957660983,1245,235,18,12
KLoSA,logistic_regression,test,65+,evaluated,1490,45,0.030201342281879196,0.5872895040369088,0.04519772679971356,0.8444444444444444,0.3460207612456747,0.07392996108949416,0.29228403238593437,500,945,7,38
KLoSA,random_forest,test,19-44,not_observed,,,,,,,,,,,,,
KLoSA,random_forest,test,45-64,evaluated,1510,30,0.019867549668874173,0.6048986486486487,0.037842023354310646,0.03333333333333333,0.9918918918918919,0.046511627906976744,0.03653077912603103,1468,12,29,1
KLoSA,random_forest,test,65+,evaluated,1490,45,0.030201342281879196,0.5484121491733949,0.035472158321328794,0.022222222222222223,0.9771626297577855,0.02531645569620253,0.05977360146288155,1412,33,44,1
KNHANES,dummy,test,19-44,evaluated,1040,14,0.013461538461538462,0.5,0.013461538461538462,0.0,1.0,0.0,0.014202771367521365,1026,0,14,0
KNHANES,dummy,test,45-64,evaluated,1146,52,0.04537521815008726,0.5,0.04537521815008726,0.0,1.0,0.0,0.04331868513670738,1094,0,52,0
KNHANES,dummy,test,65+,evaluated,814,54,0.06633906633906633,0.5,0.06633906633906633,0.0,1.0,0.0,0.06244470263445261,760,0,54,0
KNHANES,logistic_regression,test,19-44,evaluated,1040,14,0.013461538461538462,0.7928849902534112,0.06680622254028193,0.2857142857142857,0.8820662768031189,0.05755395683453238,0.10492380238290103,905,121,10,4
KNHANES,logistic_regression,test,45-64,evaluated,1146,52,0.04537521815008726,0.7346013218956546,0.17397576610201562,0.75,0.5996343692870201,0.14744801512287334,0.22715909623611277,656,438,13,39
KNHANES,logistic_regression,test,65+,evaluated,814,54,0.06633906633906633,0.5935063352826512,0.09369543380403411,0.9259259259259259,0.2118421052631579,0.1422475106685633,0.384021725926919,161,599,4,50
KNHANES,random_forest,test,19-44,evaluated,1040,14,0.013461538461538462,0.7333263714842663,0.07107024527332699,0.07142857142857142,0.9834307992202729,0.0625,0.029599157754179206,1009,17,13,1
KNHANES,random_forest,test,45-64,evaluated,1146,52,0.04537521815008726,0.6820419069047954,0.13835965924726037,0.1346153846153846,0.9396709323583181,0.112,0.08718459647982948,1028,66,45,7
KNHANES,random_forest,test,65+,evaluated,814,54,0.06633906633906633,0.5531310916179337,0.08665500366187381,0.12962962962962962,0.9184210526315789,0.11382113821138211,0.11360481652795923,698,62,47,7
