dataset,target_definition,model,split,n,positive_n,positive_rate,auroc,auprc,recall,specificity,f1,brier,tn,fp,fn,tp
KLoSA,t0 미진단자의 다음 인접 조사(약 2년) 신규 당뇨 진단,dummy,validation,2000,49,0.0245,0.5,0.0245,0.0,1.0,0.0,0.02390044444444444,1951,0,49,0
KLoSA,t0 미진단자의 다음 인접 조사(약 2년) 신규 당뇨 진단,dummy,test,3000,75,0.025,0.5,0.025,0.0,1.0,0.0,0.024375111111111104,2925,0,75,0
KLoSA,t0 미진단자의 다음 인접 조사(약 2년) 신규 당뇨 진단,logistic_regression,validation,2000,49,0.0245,0.6620623646690865,0.045627166853426306,0.7142857142857143,0.6125064069707842,0.08333333333333333,0.23367659445765943,1195,756,14,35
KLoSA,t0 미진단자의 다음 인접 조사(약 2년) 신규 당뇨 진단,logistic_regression,test,3000,75,0.025,0.6413470085470085,0.041711325429283325,0.6666666666666666,0.5965811965811966,0.07662835249042145,0.23664147028728355,1745,1180,25,50
KLoSA,t0 미진단자의 다음 인접 조사(약 2년) 신규 당뇨 진단,random_forest,validation,2000,49,0.0245,0.5699275097019844,0.03717221682462712,0.04081632653061224,0.9805228088159919,0.0449438202247191,0.04691265125517433,1913,38,47,2
KLoSA,t0 미진단자의 다음 인접 조사(약 2년) 신규 당뇨 진단,random_forest,test,3000,75,0.025,0.5814153846153847,0.032630637357424594,0.02666666666666667,0.9846153846153847,0.03278688524590164,0.04807471422000013,2880,45,73,2
KNHANES,현재 미진단 성인의 횡단면 당뇨 임상 기준 해당 여부,dummy,validation,2000,91,0.0455,0.5,0.0455,0.0,1.0,0.0,0.043432527777777764,1909,0,91,0
KNHANES,현재 미진단 성인의 횡단면 당뇨 임상 기준 해당 여부,dummy,test,3000,120,0.04,0.5,0.04,0.0,1.0,0.0,0.03841469444444444,2880,0,120,0
KNHANES,현재 미진단 성인의 횡단면 당뇨 임상 기준 해당 여부,logistic_regression,validation,2000,91,0.0455,0.7679729908645572,0.11936522484144932,0.7912087912087912,0.6186485070717653,0.16161616161616163,0.22146013203407372,1181,728,19,72
KNHANES,현재 미진단 성인의 횡단면 당뇨 임상 기준 해당 여부,logistic_regression,test,3000,120,0.04,0.745357349537037,0.10765042017407314,0.775,0.5979166666666667,0.13566739606126915,0.22734625455643814,1722,1158,27,93
KNHANES,현재 미진단 성인의 횡단면 당뇨 임상 기준 해당 여부,random_forest,validation,2000,91,0.0455,0.7441989649951934,0.10402330308551272,0.16483516483516483,0.9523310633839707,0.15228426395939088,0.07351254840275052,1818,91,76,15
KNHANES,현재 미진단 성인의 횡단면 당뇨 임상 기준 해당 여부,random_forest,test,3000,120,0.04,0.6968865740740741,0.10068351861021438,0.125,0.9496527777777778,0.10714285714285714,0.07439033076132992,2735,145,105,15
