dataset,family,candidate_index,estimator_params,selection_split,n,positive_n,prevalence,threshold,auroc,auprc,auprc_lift,recall,specificity,precision,f1,brier,predicted_positive_rate,tn,fp,fn,tp,constraints_passed
KNHANES,logistic_regression,0,"{""C"": 0.1, ""class_weight"": ""balanced""}",train_oof,6000,263,0.043833333333333335,0.31,0.7294673823642277,0.10824504869629464,2.469468791550448,0.8212927756653993,0.5030503747603277,0.07042712748614281,0.12972972972972974,0.19103870803351697,0.5111666666666667,2886,2851,47,216,True
KNHANES,logistic_regression,1,"{""C"": 1.0, ""class_weight"": ""balanced""}",train_oof,6000,263,0.043833333333333335,0.3,0.7193270816943713,0.10618368471210364,2.422441476321756,0.8022813688212928,0.5068851316018825,0.0694078947368421,0.12776264002422041,0.19207865612799457,0.5066666666666667,2908,2829,52,211,True
KNHANES,logistic_regression,2,"{""C"": 10.0, ""class_weight"": ""balanced""}",train_oof,6000,263,0.043833333333333335,0.3,0.7167542289361764,0.10810341622574039,2.4662376325263966,0.779467680608365,0.5101969670559526,0.06799336650082918,0.12507626601586333,0.19250177292107226,0.5025,2927,2810,58,205,True
KNHANES,random_forest,0,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""min_samples_leaf"": 3, ""n_estimators"": 400}",train_oof,6000,263,0.043833333333333335,0.06999999999999999,0.7428810781326736,0.10071325856214783,2.2976408797448173,0.8365019011406845,0.5218755447097786,0.07424907188660142,0.13639181649101054,0.04468437773526433,0.49383333333333335,2994,2743,43,220,True
KNHANES,random_forest,1,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""min_samples_leaf"": 10, ""n_estimators"": 400}",train_oof,6000,263,0.043833333333333335,0.16,0.7449038361486475,0.09989913056698206,2.2790676174976894,0.8403041825095057,0.5166463308349312,0.07381429525718103,0.1357077064783543,0.0707250318980781,0.499,2964,2773,42,221,True
KNHANES,random_forest,2,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 400}",train_oof,6000,263,0.043833333333333335,0.22,0.7427379209467462,0.09474467747586326,2.1614755317687435,0.8479087452471483,0.5126372668642147,0.07386551838357072,0.13589274832419257,0.09829494922900259,0.5031666666666667,2941,2796,40,223,True
KNHANES,xgboost,0,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 350, ""scale_pos_weight"": 21.813688212927758}",train_oof,6000,263,0.043833333333333335,0.19,0.729606562961657,0.09913767469082443,2.2616960005511277,0.8479087452471483,0.5061879030852362,0.07297120418848167,0.1343778246459777,0.1300813384076473,0.5093333333333333,2904,2833,40,223,True
KNHANES,xgboost,1,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 350, ""scale_pos_weight"": 21.813688212927758}",train_oof,6000,263,0.043833333333333335,0.06999999999999999,0.7113931248761459,0.08934403438124172,2.0382669440587464,0.7908745247148289,0.5197838591598396,0.07019912251096862,0.12895226286422815,0.08692871695152961,0.49383333333333335,2982,2755,55,208,True
KNHANES,xgboost,2,"{""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 350, ""scale_pos_weight"": 21.813688212927758}",train_oof,6000,263,0.043833333333333335,0.06999999999999999,0.7178424886551245,0.08836392460166628,2.015907025133071,0.8136882129277566,0.5204810876764859,0.07217537942664418,0.1325898389095415,0.07446830052147971,0.49416666666666664,2986,2751,49,214,True
KNHANES,lightgbm,0,"{""class_weight"": null, ""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 350, ""num_leaves"": 15, ""scale_pos_weight"": 21.813688212927758}",train_oof,6000,263,0.043833333333333335,0.09,0.7121572926325083,0.09012336689703834,2.056046393088327,0.7984790874524715,0.5168206379640927,0.07042253521126761,0.12942989214175654,0.0896230684994417,0.497,2965,2772,53,210,True
KNHANES,lightgbm,1,"{""class_weight"": null, ""learning_rate"": 0.03, ""max_depth"": 6, ""n_estimators"": 350, ""num_leaves"": 31, ""scale_pos_weight"": 21.813688212927758}",train_oof,6000,263,0.043833333333333335,0.05,0.7045242310106301,0.08848719715273788,2.0187193266784305,0.7566539923954373,0.5297193655220499,0.06869175008629617,0.1259493670886076,0.06845744837525575,0.48283333333333334,3039,2698,64,199,True
KNHANES,lightgbm,2,"{""class_weight"": null, ""learning_rate"": 0.08, ""max_depth"": 6, ""n_estimators"": 350, ""num_leaves"": 31, ""scale_pos_weight"": 21.813688212927758}",train_oof,6000,263,0.043833333333333335,0.01,0.6868363653716022,0.08202920989547872,1.8713888189082597,0.6615969581749049,0.6074603451281158,0.0717230008244023,0.12941613982893269,0.0514044758414866,0.4043333333333333,3485,2252,89,174,True
