dataset,family,candidate_index,estimator_params,selection_split,n,positive_n,prevalence,threshold,auroc,auprc,auprc_lift,recall,specificity,precision,f1,brier,predicted_positive_rate,tn,fp,fn,tp,constraints_passed
KLoSA,logistic_regression,0,"{""C"": 0.1, ""class_weight"": ""balanced""}",train_oof,6000,152,0.025333333333333333,0.48000000000000004,0.6092478760169918,0.045116576874444925,1.7809175082017734,0.6052631578947368,0.5324897400820794,0.03255484784147204,0.06178643384822028,0.23680971969764786,0.471,3114,2734,60,92,True
KLoSA,logistic_regression,1,"{""C"": 1.0, ""class_weight"": ""balanced""}",train_oof,6000,152,0.025333333333333333,0.47000000000000003,0.608845129238966,0.04503942592880947,1.777872076137216,0.6381578947368421,0.5008549931600548,0.03216180371352785,0.061237373737373736,0.23677386446086565,0.5026666666666667,2929,2919,55,97,True
KLoSA,logistic_regression,2,"{""C"": 10.0, ""class_weight"": ""balanced""}",train_oof,6000,152,0.025333333333333333,0.47000000000000003,0.6088102545179639,0.04503840916270678,1.7778319406331624,0.6381578947368421,0.5006839945280438,0.032151143520053035,0.06121804985799937,0.23677048348815552,0.5028333333333334,2928,2920,55,97,True
KLoSA,random_forest,0,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""min_samples_leaf"": 3, ""n_estimators"": 400}",train_oof,6000,152,0.025333333333333333,0.09999999999999999,0.5624656877744978,0.03138644646300772,1.2389386761713574,0.5526315789473685,0.5288987688098495,0.029587883057414582,0.05616850551654965,0.042629275319175694,0.4731666666666667,3093,2755,68,84,True
KLoSA,random_forest,1,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""min_samples_leaf"": 10, ""n_estimators"": 400}",train_oof,6000,152,0.025333333333333333,0.23,0.5721203605371157,0.033613792432411166,1.3268602275951777,0.6052631578947368,0.5078659370725034,0.030976430976430977,0.058936579115951314,0.0864303924670213,0.495,2970,2878,60,92,True
KLoSA,random_forest,2,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 400}",train_oof,6000,152,0.025333333333333333,0.31,0.5633673680610556,0.0335191800419813,1.3231255279729461,0.5592105263157895,0.5225718194254446,0.02954466458116093,0.05612413337735226,0.11591181484827909,0.4795,3056,2792,67,85,True
KLoSA,xgboost,0,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 350, ""scale_pos_weight"": 38.473684210526315}",train_oof,6000,152,0.025333333333333333,0.34,0.5784129976960184,0.03935420278485496,1.5534553730863798,0.625,0.5008549931600548,0.03151957531519575,0.06001263423878711,0.16174386734712265,0.5023333333333333,2929,2919,57,95,True
KLoSA,xgboost,1,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 350, ""scale_pos_weight"": 38.473684210526315}",train_oof,6000,152,0.025333333333333333,0.21000000000000002,0.5797489245086039,0.03479023181500403,1.3732986242764749,0.5789473684210527,0.521374829001368,0.030481468652580532,0.057913787430075685,0.12126027030303131,0.4811666666666667,3049,2799,64,88,True
KLoSA,xgboost,2,"{""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 350, ""scale_pos_weight"": 38.473684210526315}",train_oof,6000,152,0.025333333333333333,0.17,0.561313134494924,0.03544561837608229,1.3991691464243008,0.5921052631578947,0.5013679890560876,0.029940119760479042,0.056998100063331225,0.09781743921152335,0.501,2932,2916,62,90,True
KLoSA,lightgbm,0,"{""class_weight"": null, ""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 350, ""num_leaves"": 15, ""scale_pos_weight"": 38.473684210526315}",train_oof,6000,152,0.025333333333333333,0.23,0.5687510124919001,0.03458664490664509,1.3652622989465169,0.5855263157894737,0.5064979480164159,0.02991596638655462,0.05692356891589383,0.12576514140010758,0.49583333333333335,2962,2886,63,89,True
KLoSA,lightgbm,1,"{""class_weight"": null, ""learning_rate"": 0.03, ""max_depth"": 6, ""n_estimators"": 350, ""num_leaves"": 31, ""scale_pos_weight"": 38.473684210526315}",train_oof,6000,152,0.025333333333333333,0.16,0.5560448016415869,0.03289214012138688,1.2983739521600084,0.5592105263157895,0.5032489740082079,0.028428093645484948,0.05410566518141311,0.10380614515418002,0.49833333333333335,2943,2905,67,85,True
KLoSA,lightgbm,2,"{""class_weight"": null, ""learning_rate"": 0.08, ""max_depth"": 6, ""n_estimators"": 350, ""num_leaves"": 31, ""scale_pos_weight"": 38.473684210526315}",train_oof,6000,152,0.025333333333333333,0.04,0.5570612310101519,0.031818304196404926,1.2559856919633523,0.5526315789473685,0.521374829001368,0.029136316337148804,0.055354200988467876,0.06629545535499819,0.4805,3049,2799,68,84,True
