dataset,canonical_name,population,rows,missing_count,missing_rate
KNHANES,age,age_19_plus,55342,0,0.0
KNHANES,sex,age_19_plus,55342,0,0.0
KNHANES,region,age_19_plus,55342,0,0.0
KNHANES,urban,age_19_plus,55342,0,0.0
KNHANES,education,age_19_plus,55342,4448,0.0803729536337682
KNHANES,income_quartile,age_19_plus,55342,248,0.004481225832098587
KNHANES,household_income_quartile,age_19_plus,55342,248,0.004481225832098587
KNHANES,height_cm,age_19_plus,55342,2240,0.04047558816089046
KNHANES,weight_kg,age_19_plus,55342,1836,0.03317552672472986
KNHANES,waist_cm,age_19_plus,55342,2410,0.04354739619095804
KNHANES,bmi,age_19_plus,55342,2257,0.04078276896389722
KNHANES,hypertension_family_history,age_19_plus,55342,4314,0.07795164612771494
KNHANES,diabetes_family_history,age_19_plus,55342,4301,0.07771674316070977
KNHANES,current_smoker,age_19_plus,55342,2520,0.04553503668100177
KNHANES,alcohol_frequency,age_19_plus,55342,2477,0.044758049943984676
KNHANES,aerobic_activity,age_19_plus,55342,5405,0.09766542589714863
KNHANES,walking_days,age_19_plus,55342,5386,0.0973221061761411
KNHANES,energy_kcal,age_19_plus,55342,6354,0.1148133424885259
KNHANES,protein_g,age_19_plus,55342,6354,0.1148133424885259
KNHANES,fat_g,age_19_plus,55342,6354,0.1148133424885259
KNHANES,carbohydrate_g,age_19_plus,55342,6353,0.1147952730295255
KNHANES,sodium_mg,age_19_plus,55342,6353,0.1147952730295255
KLoSA,age,age_19_plus,74834,0,0.0
KLoSA,sex,age_19_plus,74834,0,0.0
KLoSA,bmi,age_19_plus,74834,1428,0.019082235347569285
KLoSA,self_rated_health,age_19_plus,74834,0,0.0
KLoSA,regular_exercise,age_19_plus,74834,0,0.0
KLoSA,current_smoker,age_19_plus,74834,1,1.3362909907261405e-05
KLoSA,current_drinker,age_19_plus,74834,1,1.3362909907261405e-05
KLoSA,meal_count_yesterday,age_19_plus,74834,0,0.0
